Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
374,0.0554363,0,0
375,0.057109,0,0
376,0.0555196,0,0
377,0.0554533,0,0
378,0.0552937,0,0
379,0.055115,0,0
380,0.0644015,0.0041549,0.0201228
381,0.056188,0,0
382,0.0552953,0,0
383,0.0558722,0,0
384,0.0555546,0,0
385,0.0552063,0,0
386,0.055483,0,0
387,0.0581838,0,0
388,0.0558707,0,0
389,0.0578149,0,0
390,0.0594403,0.004178,0.0216499
391,0.0553325,0,0
392,0.0559335,0,0
393,0.0552877,0,0
394,0.0552139,0,0
395,0.0551114,0,0
396,0.0556581,0,0
397,0.056053,0,0
398,0.055115,0,0
399,0.0558503,0,0
400,0.0638205,0.0040786,0.0203053
401,0.0570951,0,0
402,0.0557884,0,0
403,0.0555867,0,0
404,0.0555876,0,0
405,0.0557727,0,0
406,0.0595901,0,0
407,0.0553025,0,0
408,0.0551917,0,0
409,0.0563246,0,0
410,0.0608173,0.0040641,0.0203244
411,0.0557,0,0
412,0.0556793,0,0
413,0.0565446,0,0
414,0.0569586,0,0
415,0.0553721,0,0
416,0.0553902,0,0
417,0.0560603,0,0
418,0.0554121,0,0
419,0.0555148,0,0
420,0.0610769,0.0040558,0.020372
421,0.0560107,0,0
422,0.0558379,0,0
423,0.0558499,0,0
424,0.0553841,0,0
425,0.0551215,0,0
426,0.0558929,0,0
427,0.0579819,0,0
428,0.0552487,0,0
429,0.0554078,0,0
430,0.0598782,0.004231,0.019924
431,0.0574023,0,0
432,0.0556451,0,0
433,0.0559575,0,0
434,0.0557686,0,0
435,0.0553476,0,0
436,0.0556317,0,0
437,0.0572651,0,0
438,0.0556015,0,0
439,0.0560353,0,0
440,0.0655434,0.0042079,0.0218928
441,0.0659701,0,0
442,0.0634409,0,0
443,0.0630065,0,0
444,0.0619782,0,0
445,0.0557309,0,0
446,0.0554581,0,0
447,0.0554688,0,0
448,0.0552949,0,0
449,0.0564853,0,0
450,0.059089,0.0040207,0.0203476
451,0.0566852,0,0
452,0.0575455,0,0
453,0.0554898,0,0
454,0.0554495,0,0
455,0.0555024,0,0
456,0.0579511,0,0
457,0.0579224,0,0
458,0.0556373,0,0
459,0.05542,0,0
460,0.0597494,0.0039661,0.0216715
461,0.0555908,0,0
462,0.0557073,0,0
463,0.0554196,0,0
464,0.0552965,0,0
465,0.0571712,0,0
466,0.0556743,0,0
467,0.055455,0,0
468,0.0554196,0,0
469,0.05559,0,0
470,0.0591916,0.005352,0.0207659
471,0.055771,0,0
472,0.0552965,0,0
473,0.0576827,0,0
474,0.0552815,0,0
475,0.0555309,0,0
476,0.0563888,0,0
477,0.0555032,0,0
478,0.057709,0,0
479,0.0563018,0,0
480,0.0586457,0.0039869,0.0206798
481,0.0561883,0,0
482,0.0570102,0,0
483,0.0559652,0,0
484,0.0555227,0,0
485,0.0553673,0,0
486,0.0556707,0,0
487,0.0553644,0,0
488,0.0554445,0,0
489,0.0555709,0,0
490,0.0603872,0.0040285,0.0208195
491,0.055516,0,0
492,0.0551276,0,0
493,0.0563101,0,0
494,0.0551192,0,0
495,0.0557106,0,0
496,0.0556861,0,0
497,0.0554488,0,0
498,0.0551048,0,0
499,0.0551992,0,0
500,0.0618358,0.0041838,0.0200336
501,0.0559564,0,0
502,0.0553903,0,0
503,0.0554346,0,0
504,0.0555914,0,0
505,0.0560178,0,0
506,0.0553495,0,0
507,0.0562977,0,0
508,0.057865,0,0
509,0.0572492,0,0
510,0.0595918,0.0041672,0.0202643
511,0.0560042,0,0
512,0.0555601,0,0
513,0.0557236,0,0
514,0.0550663,0,0
515,0.0563121,0,0
516,0.0555188,0,0
517,0.0570933,0,0
518,0.0559626,0,0
519,0.0555259,0,0
520,0.0595287,0.0040628,0.0206649
521,0.0557804,0,0
522,0.0558536,0,0
523,0.0554569,0,0
524,0.0575322,0,0
525,0.0553789,0,0
526,0.0561529,0,0
527,0.0564511,0,0
528,0.0555428,0,0
529,0.0560022,0,0
530,0.0597049,0.0042427,0.0202585
531,0.0557657,0,0
532,0.0555798,0,0
533,0.055584,0,0
534,0.0553492,0,0
535,0.0581474,0,0
536,0.0553971,0,0
537,0.056313,0,0
538,0.0556343,0,0
539,0.0556705,0,0
540,0.0599667,0.0039787,0.0201628
541,0.0560474,0,0
542,0.0557003,0,0
543,0.0582365,0,0
